Question,Location,Price
Can you recommend any affordable restaurants in New York?,New York,Low
What are some good restaurants in San Francisco that are reasonably priced?,San Francisco,Medium
Where can I find upscale restaurants in Los Angeles?,Los Angeles,High
What are some inexpensive restaurants in Miami that are worth checking out?,Miami,Low
Can you suggest any good restaurants in Chicago that are not too expensive?,Chicago,Medium
What are some high-end restaurants in Boston that offer exceptional cuisine?,Boston,High
Where can I find cheap but delicious restaurants in Seattle?,Seattle,Low
What are some moderately priced restaurants in Austin that are popular with locals?,Austin,Medium
What are some of the most expensive restaurants in Houston that are worth the price?,Houston,High
Can you recommend any affordable restaurants in Portland that offer great food?,Portland,Low
What are some good restaurants in Denver that are reasonably priced?,Denver,Medium
Where can I find upscale restaurants in Atlanta that offer a fine dining experience?,Atlanta,High
What are some inexpensive restaurants in Phoenix that are worth trying?,Phoenix,Low
Can you suggest any good restaurants in Nashville that won't break the bank?,Nashville,Medium
What are some high-end restaurants in San Diego that offer exceptional cuisine?,San Diego,High
Where can I find cheap but delicious restaurants in Dallas?,Dallas,Low
What are some moderately priced restaurants in Philadelphia that offer great food?,Philadelphia,Medium
What are some of the most expensive restaurants in Minneapolis that are worth the price?,Minneapolis,High
Can you recommend any affordable restaurants in San Antonio that offer great food?,San Antonio,Low
What are some good restaurants in Las Vegas that are reasonably priced?,Las Vegas,Medium
Where can I find upscale restaurants in New Orleans that offer a fine dining experience?,New Orleans,High
What are some inexpensive restaurants in Washington DC that are worth trying?,Washington DC,Low
Can you suggest any good restaurants in Raleigh that won't break the bank?,Raleigh,Medium
What are some high-end restaurants in St. Louis that offer exceptional cuisine?,St. Louis,High
Where can I find cheap but delicious restaurants in Charlotte?,Charlotte,Low
What are some moderately priced restaurants in Pittsburgh that offer great food?,Pittsburgh,Medium
What are some of the most expensive restaurants in Tampa that are worth the price?,Tampa,High
Can you recommend any affordable restaurants in Cincinnati that offer great food?,Cincinnati,Low
What are some good restaurants in Orlando that are reasonably priced?,Orlando,Medium
Where can I find upscale restaurants in Salt Lake City that offer a fine dining experience?,Salt Lake City,High
What are some inexpensive restaurants in Indianapolis that are worth trying?,Indianapolis,Low
Can you suggest any good restaurants in Kansas City that won't break the bank?,Kansas City,Medium
What are some high-end restaurants in Rochester that offer exceptional cuisine?,Rochester,High
Where can I find cheap but delicious restaurants in Columbus?,Columbus,Low
